,price,production_year,mileage,fuel_type,mark,model,fiscal_power
0,135000,2013.0,169999,Diesel,Peugeot,508,6
1,53000,2008.0,39999,Diesel,Renault,Clio,6
2,59000,2007.0,189999,Diesel,Citroen,C3,6
3,88000,2010.0,39999,Diesel,Mercedes-Benz,220,6
4,60000,2009.0,139999,Essence,Ford,Fiesta,7
5,67000,2006.0,109999,Essence,Nissan,Murano,20
6,73000,2007.0,14999,Diesel,Peugeot,Partner,6
7,68000,2003.0,299999,Diesel,Renault,Scenic,6
8,78000,2014.0,119999,Diesel,Fiat,Punto,5
9,40000,2001.0,179999,Diesel,Fiat,Palio,7
10,143000,2015.0,69999,Diesel,Skoda,RAPID,6
11,275000,2015.0,139999,Diesel,Hyundai,Santa Fe,6
12,118000,2015.0,89999,Diesel,Renault,Fluence,6
13,92000,2009.0,29999,Diesel,Kia,Sorento,6
14,89000,2014.0,79999,Diesel,Dacia,Logan,6
15,75000,2009.0,129999,Essence,Opel,Corsa,7
16,53000,2008.0,34999,Diesel,Renault,Clio,6
17,58000,1993.0,249999,Diesel,Mercedes-Benz,190,8
18,37000,2001.0,34999,Essence,Peugeot,406,6
19,85000,2002.0,249999,Diesel,Volkswagen,Passat,6
20,89000,2007.0,129999,Essence,mini,cooper,8
21,48000,2001.0,109999,Diesel,Seat,Ibiza,8
22,203000,2014.0,179999,Diesel,Volkswagen,GOLF 7,6
23,32000,1999.0,129999,Essence,Fiat,Palio,6
24,140000,2007.0,29999,Diesel,Isuzu,D-MAX,6
25,65000,2008.0,119999,Essence,Fiat,Punto,7
26,70000,2006.0,9999,Diesel,Peugeot,206,6
27,120000,2006.0,4999,Diesel,Mercedes-Benz,Classe B,6
28,83000,1999.0,24999,Diesel,Volkswagen,GOLF 4,6
29,125000,2009.0,179999,Diesel,Volkswagen,Passat,8
30,58000,1995.0,14999,Diesel,Volkswagen,GOLF 3,6
31,168000,2014.0,54999,Diesel,Honda,Accord,6
32,105000,2014.0,119999,Diesel,Dacia,Duster,6
33,27000,1996.0,299999,Diesel,Mitsubishi,other,8
34,82000,2010.0,159999,Diesel,Renault,Kangoo,6
35,73000,2007.0,14999,Diesel,Peugeot,Partner,6
36,75000,2012.0,69999,Essence,Ford,Fiesta,6
37,195000,2009.0,249999,Essence,Mercedes-Benz,220,6
38,60000,2012.0,84999,Essence,Peugeot,206,6
39,56000,2007.0,299999,Diesel,Dacia,Logan,6
40,48000,2000.0,39999,Diesel,Peugeot,406,6
41,99000,2011.0,109999,Essence,Peugeot,508,6
42,83000,2007.0,159999,Diesel,Ford,Focus,6
43,50000,2005.0,109999,Essence,Renault,Clio,6
44,248000,2011.0,129999,Diesel,Mercedes-Benz,CLASSE C COUPE,9
45,110000,2010.0,84999,Diesel,Citroen,C5,8
46,83000,2004.0,169999,Diesel,Volkswagen,GOLF 5,6
47,67000,2008.0,159999,Diesel,Dacia,Logan,6
48,182000,2012.0,59999,Essence,mini,country man,6
49,55000,2004.0,179999,Diesel,Nissan,primera,8
50,120000,2008.0,249999,Diesel,Volkswagen,GOLF 5,6
51,97000,2015.0,49999,Diesel,Peugeot,301,6
52,70000,2000.0,109999,Diesel,Toyota,Hi Ace,8
53,41000,2001.0,249999,Essence,Peugeot,306,6
54,37000,2000.0,349999,Diesel,Peugeot,309,6
55,39000,2001.0,14999,Essence,Peugeot,206,6
56,42000,1998.0,19999,Essence,BMW,Serie 7,6
57,40000,2010.0,89999,Essence,Chevrolet,Spark,6
58,105000,2005.0,149999,Diesel,Volkswagen,Passat,6
59,650000,2003.0,189999,Diesel,Mercedes-Benz,270,6
60,45000,2004.0,189999,Essence,Toyota,Corolla,6
61,56000,2002.0,29999,Diesel,Renault,Kangoo,6
62,35000,2001.0,29999,Essence,Seat,Ibiza,6
63,32000,1991.0,34999,Essence,Renault,SUPER 5,6
64,90000,2014.0,119999,Diesel,Dacia,Logan,6
65,34000,1992.0,24999,Essence,Volkswagen,GOLF 3,6
66,100000,2010.0,14999,Diesel,Peugeot,Tepee,7
67,65000,2002.0,39999,Diesel,Ford,Focus,6
68,48000,2001.0,34999,Diesel,Citroen,XSARA,6
69,168000,2016.0,39999,Diesel,Ford,Focus,6
70,210000,2010.0,149999,Diesel,Audi,A5,8
71,45000,2000.0,169999,Essence,Suzuki,BALENO,7
72,85000,2002.0,349999,Diesel,Volkswagen,GOLF 4,6
73,125000,2011.0,189999,Diesel,Toyota,Prado,6
74,107000,2012.0,109999,Diesel,Ssangyong,Korando,8
75,78000,2006.0,139999,Diesel,Peugeot,607,6
76,30000,1993.0,44999,Diesel,Citroen,C15,4
77,105000,2012.0,109999,Diesel,lancia,Delta,6
78,105000,2011.0,109999,Diesel,Chevrolet,Captiva,8
79,62000,2007.0,149999,Essence,Citroen,C4,6
80,61000,2002.0,149999,Diesel,Peugeot,307,6
81,129000,2011.0,149999,Diesel,Ford,Focus,6
82,155000,2011.0,99999,Diesel,Hyundai,ix 35,8
83,40000,2003.0,44999,Diesel,Fiat,Uno,6
84,140000,2013.0,119999,Diesel,Renault,Latitude,6
85,115000,2011.0,129999,Diesel,Hyundai,i 30,6
86,52000,2010.0,94999,Essence,Fiat,Punto,6
87,95000,2014.0,59999,Diesel,Citroen,C3,6
88,80000,2012.0,14999,Diesel,Renault,Clio,6
89,90000,2014.0,84999,Diesel,Dacia,Logan,6
90,155000,2010.0,199999,Diesel,Volkswagen,Touran,6
91,130000,2008.0,249999,Diesel,Volkswagen,Passat,6
92,120000,2012.0,109999,Diesel,Ssangyong,Korando,8
93,59000,1999.0,249999,Diesel,Peugeot,306,6
94,185000,2009.0,49999,Diesel,Audi,A4,6
95,68000,2014.0,79999,Essence,Renault,Clio,6
96,10800,2015.0,59999,Diesel,Ford,Fiesta,6
97,145000,2016.0,39999,Essence,Fiat,500,8
98,70000,2009.0,99999,Essence,Suzuki,Jimmy,6
99,125000,2010.0,199999,Diesel,Mercedes-Benz,220,6
100,109000,2017.0,14999,Diesel,Dacia,Logan,6
101,96000,2014.0,99999,Diesel,Dacia,Dokker,6
102,33500,1995.0,249999,Essence,Renault,19,6
103,127000,2012.0,89999,Diesel,Mitsubishi,pajero sport,10
104,95000,2015.0,79999,Diesel,Dacia,Logan,6
105,65000,1992.0,189999,Diesel,Mercedes-Benz,190,8
106,59000,2008.0,109999,Diesel,Peugeot,Partner,7
107,83000,2007.0,24999,Diesel,Renault,Megane,6
108,155000,2008.0,189999,Diesel,Audi,A4,8
109,280000,2011.0,99999,Diesel,Volkswagen,Touareg,12
110,32000,2008.0,169999,Essence,Fiat,Punto,6
111,62000,2004.0,199999,Diesel,Opel,Astra,6
112,75000,2014.0,109999,Diesel,Fiat,Punto,5
113,157000,2016.0,89999,Diesel,Volkswagen,Polo,6
114,100000,2002.0,299999,Diesel,Mercedes-Benz,Classe C,9
115,183000,2010.0,139999,Diesel,Jaguar,XF,12
116,52000,2009.0,149999,Essence,Hyundai,i 10,6
117,56000,1992.0,119999,Diesel,Mercedes-Benz,190,8
118,95000,2006.0,349999,Diesel,Volkswagen,GOLF 5,6
119,65000,2012.0,139999,Diesel,Dacia,Logan,6
120,90000,2014.0,89999,Diesel,Fiat,Punto,6
121,95000,2011.0,159999,Diesel,Kia,Carens,6
122,139000,2015.0,24999,Diesel,Nissan,Juke,6
123,58000,2015.0,94999,Essence,Kia,Picanto,6
124,33000,2007.0,149999,Essence,Chevrolet,Optra,9
125,73000,2013.0,84999,Diesel,Dacia,Dokker,6
126,162000,2015.0,99999,Diesel,Volvo,other,6
127,53000,1997.0,349999,Diesel,Ford,Mondeo,6
128,90000,2014.0,109999,Diesel,Dacia,Logan,6
129,26000,2000.0,54999,Essence,Fiat,Uno,6
130,42000,2005.0,129999,Essence,Hyundai,Atos,6
131,52000,2007.0,199999,Diesel,Dacia,Logan,6
132,130000,2013.0,84999,Diesel,Nissan,Juke,6
133,158000,2011.0,129999,Diesel,Peugeot,508,9
134,100000,2009.0,189999,Diesel,Hyundai,Tucson,6
135,185000,2009.0,49999,Diesel,Audi,A4,6
136,43000,2004.0,139999,Essence,Renault,Clio,6
137,130000,2015.0,54999,Diesel,Dacia,Duster,6
138,59000,2012.0,94999,Diesel,Peugeot,Bipper,5
139,145000,2015.0,54999,Diesel,Peugeot,308,6
140,78000,2015.0,84999,Essence,Fiat,Punto,6
141,78000,2014.0,119999,Essence,Peugeot,208,6
142,26000,1991.0,54999,Essence,Peugeot,309,6
143,72000,2011.0,149999,Diesel,Peugeot,Partner,6
144,82000,2014.0,64999,Diesel,Peugeot,301,6
145,70000,2011.0,4999,Diesel,Renault,Kangoo,4
146,49000,2003.0,179999,Diesel,Peugeot,Partner,7
147,210000,2015.0,109999,Diesel,Hyundai,Santa Fe,8
148,76000,2007.0,249999,Diesel,Citroen,C4,6
149,40000,2000.0,24999,Essence,Seat,Ibiza,6
150,105000,2013.0,109999,Diesel,Ssangyong,Kyron,8
151,59000,2001.0,249999,Diesel,Autres,Autres,7
152,210000,2009.0,169999,Diesel,Mercedes-Benz,Classe CLS,12
153,105000,2010.0,119999,Diesel,Renault,Megane,6
154,99000,2016.0,39999,Diesel,Fiat,Punto,6
155,52000,1999.0,4999,Diesel,Renault,Megane,6
156,85000,2002.0,249999,Diesel,Opel,Zafira,8
157,238000,2011.0,109999,Diesel,Volkswagen,Touareg,12
158,39000,2000.0,179999,Essence,Peugeot,206,7
159,289000,2017.0,39999,Diesel,Hyundai,Santa Fe,9
160,120000,2013.0,44999,Diesel,Renault,Kangoo,6
161,155000,2011.0,129999,Diesel,Mitsubishi,pajero,6
162,115000,2009.0,149999,Diesel,Jaguar,X-Type,8
163,115000,2009.0,149999,Diesel,Hyundai,Santa Fe,8
